seq,count
2047,19
2048,33
2049,27
2050,25
2051,21
2052,71
2053,29
2054,19
2055,19
2056,35
2057,25
2058,35
2059,31
2060,21
2061,19
2062,33
2063,75
2064,19
2065,19
2066,19
2067,19
2068,21
2069,19
2070,23
2071,23
2072,21
2073,23
2074,21
2075,19
2076,25
2077,101
2078,21
2079,79
2080,21
2081,43
2082,23
2083,23
2084,19
2085,19
2086,21
2087,27
2088,23
2089,29
2090,19
2091,29
2092,23
2093,21
2094,21
2095,19
2096,19
2097,37
2098,61
2099,23
2100,25
2101,19
2102,19
2103,21
2104,21
2105,25
2106,23
2107,19
2108,23
2109,27
2110,19
2111,37
2112,35
2113,21
2114,19
2115,19
2116,19
2117,21
2118,37
2119,19
2120,67
2121,21
2122,27
2123,29
2124,39
2125,23
2126,59
2127,21
2128,23
2129,19
2130,19
2131,23
2132,21
2133,21
2134,29
2135,19
2136,21
2137,23
2138,21
2139,39
2140,21
2141,25
2142,19
2143,27
2144,19
2145,19
2146,33
2147,19
2148,21
2149,19
2150,19
2151,27
2152,21
2153,19
2154,29
2155,19
2156,57
2157,23
2158,21
2159,21
2160,19
2161,39
2162,29
2163,19
2164,25
2165,19
2166,19
2167,177
2168,25
2169,23
2170,23
2171,61
2172,21
2173,37
2174,29
2175,21
2176,21
2177,31
2178,79
2179,27
2180,27
2181,27
2182,21
2183,19
2184,21
2185,25
2186,37
2187,29
2188,25
2189,27
2190,21
2191,21
2192,23
2193,25
2194,21
2195,19
2196,19
2197,21
2198,29
2199,19
2200,25
2201,31
2202,23
2203,21
2204,31
2205,21
2206,41
2207,37
2208,31
2209,21
2210,25
2211,93
2212,21
2213,21
2214,27
2215,19
2216,25
2217,19
2218,29
2219,19
2220,23
2221,21
2222,23
2223,19
2224,19
2225,19
2226,19
2227,23
2228,21
2229,21
2230,29
2231,69
2232,97
2233,37
2234,27
2235,21
2236,19
2237,23
2238,19
2239,23
2240,21
2241,19
2242,19
2243,19
2244,27
2245,23
2246,27
2247,39
2248,19
2249,21
2250,27
2251,21
2252,19
2253,19
2254,35
2255,21
2256,29
2257,23
2258,91
2259,37
2260,23
2261,19
2262,25
2263,23
2264,39
2265,21
2266,25
2267,19
2268,49
2269,21
2270,19
2271,21
2272,31
2273,25
2274,33
2275,25
2276,23
2277,21
2278,19
2279,25
2280,27
2281,19
2282,33
2283,41
2284,19
2285,21
2286,25
2287,25
2288,23
2289,31
2290,23
2291,19
2292,19
2293,23
2294,79
2295,19
2296,23
2297,33
2298,23
2299,23
2300,21
2301,25
2302,29
2303,19
2304,19
2305,29
2306,25
2307,59
2308,19
2309,23
2310,39
2311,19
2312,19
2313,27
2314,27
2315,21
2316,43
2317,21
2318,37
2319,35
2320,31
2321,19
2322,19
2323,23
2324,25
2325,59
2326,33
2327,21
2328,37
2329,29
2330,21
2331,38
2332,45
2333,19
2334,27
2335,19
2336,19
2337,19
2338,31
2339,27
2340,21
2341,43
2342,35
2343,29
2344,21
2345,21
2346,21
2347,23
2348,23
2349,25
2350,19
2351,29
2352,29
2353,38
2354,19
2355,29
2356,27
2357,25
2358,19
2359,19
2360,19
2361,31
2362,19
2363,19
2364,27
2365,25
2366,23
2367,21
2368,21
2369,23
2370,21
2371,33
2372,21
2373,23
2374,23
2375,19
2376,21
2377,55
2378,19
2379,21
2380,23
2381,29
2382,21
2383,39
2384,55
2385,19
2386,23
2387,43
2388,25
2389,29
2390,35
2391,37
2392,19
2393,39
2394,19
2395,37
2396,27
2397,35
2398,19
2399,21
2400,21
2401,19
2402,19
2403,37
2404,21
2405,19
2406,21
2407,49
2408,53
2409,21
2410,21
2411,21
2412,19
2413,27
2414,19
2415,21
2416,37
2417,19
2418,19
2419,21
2420,19
2421,19
2422,21
2423,19
2424,21
2425,21
2426,27
2427,23
2428,27
2429,31
2430,37
2431,19
2432,29
2433,25
2434,21
2435,27
2436,27
2437,19
2438,19
2439,25
2440,21
2441,19
2442,23
2443,21
2444,19
2445,23
2446,19
2447,23
2448,21
2449,19
2450,43
2451,21
2452,35
2453,19
2454,39
2455,53
2456,29
2457,19
2458,19
2459,19
2460,31
2461,31
2462,23
2463,19
2464,19
2465,31
2466,19
2467,27
2468,31
2469,57
2470,21
2471,21
2472,85
2473,19
2474,23
2475,21
2476,41
2477,19
2478,23
2479,19
2480,25
2481,19
2482,21
2483,21
2484,51
2485,19
2486,33
2487,31
2488,19
2489,23
2490,31
2491,47
2492,29
2493,21
2494,19
2495,27
2496,25
2497,47
2498,21
2499,45
2500,19
2501,43
2502,27
2503,29
2504,31
2505,25
2506,21
2507,70
2508,25
2509,31
2510,29
2511,31
2512,23
2513,25
2514,25
2515,19
2516,21
2517,23
2518,21
2519,39
2520,43
2521,21
2522,37
2523,25
2524,29
2525,19
2526,21
2527,19
2528,19
2529,21
2530,47
2531,21
2532,19
2533,23
2534,23
2535,33
2536,71
2537,19
2538,33
2539,27
2540,75
2541,21
2542,23
2543,29
2544,21
2545,19
2546,27
2547,19
2548,23
2549,27
2550,25
2551,21
2552,27
2553,29
2554,29
2555,23
2556,37
2557,31
2558,21
2559,29
2560,19
2561,23
2562,21
2563,19
2564,27
2565,37
2566,21
2567,37
2568,37
2569,19
2570,33
2571,25
2572,21
2573,35
2574,21
2575,31
2576,47
2577,23
2578,19
2579,23
2580,31
2581,23
2582,19
2583,31
2584,23
2585,27
2586,19
2587,19
2588,35
2589,25
2590,21
2591,19
2592,21
2593,21
2594,21
2595,23
2596,19
2597,27
2598,27
2599,25
2600,29
2601,19
2602,31
2603,19
2604,33
2605,27
2606,19
2607,19
2608,19
2609,25
2610,19
2611,19
2612,25
2613,21
2614,19
2615,25
2616,25
2617,53
2618,19
2619,37
2620,19
2621,31
2622,29
2623,27
2624,21
2625,19
2626,23
2627,45
2628,25
2629,33
2630,31
2631,33
2632,55
2633,19
2634,31
2635,25
2636,19
2637,21
2638,45
2639,21
2640,19
2641,19
2642,19
2643,23
2644,27
2645,23
2646,19
2647,19
2648,19
2649,37
2650,29
2651,25
2652,19
2653,23
2654,19
2655,21
2656,29
2657,29
2658,19
2659,21
2660,19
2661,39
2662,19
2663,25
2664,37
2665,19
2666,21
2667,39
2668,19
2669,19
2670,49
2671,29
2672,19
2673,21
2674,21
